text,speaker,season,episode,scene,utterance,emotion
"Ok, thanks.",Phoebe Buffay,1,12,6,2,Neutral
"Oh, here comes your 3:00. I don't mean to sound unprofessional, but, yum",Phoebe's Assistant,1,12,6,3,Neutral
"Buon Giorno, Bella Phoebe!",Paolo,1,12,6,4,Neutral
"Oh, Paolo, hi, what are you doing here?",Phoebe Buffay,1,12,6,5,Neutral
"Uh, Racquela tell me you massage, eh?",Paolo,1,12,6,6,Neutral
"Well, Racquela's right, yeah!",Phoebe Buffay,1,12,6,7,Neutral
"Oh, okay, I don't know what you just said, so let's get started.",Phoebe Buffay,1,12,6,9,Neutral
"Uh, I am, uh, being naked?",Paolo,1,12,6,10,Scared
"Um, that's really your decision, I mean, some people prefer, you know, to take off...oh whoops! You're being naked!",Phoebe Buffay,1,12,6,11,Neutral
"I can't believe you don't want to know. I mean, I couldn't not know, I mean, if, if the doctor knows, and Carol knows, and Susan knows....",Rachel Green,1,12,7,1,Powerful
And Monica knows...,Monica Geller,1,12,7,2,Neutral
"Wha, heh, how could you know, I don't even know!",Ross Geller,1,12,7,3,Joyful
"Carol called me to thank me for the lasagna, I asked, she told me.",Monica Geller,1,12,7,4,Neutral
So what's it gonna be?,Joey Tribbiani,1,12,7,5,Neutral
"Waitohheyhuh, oh great now he knows, and I don't know!",Ross Geller,1,12,7,6,Joyful
"I'm sorry, I'm just excited about being an aunt!",Monica Geller,1,12,7,7,Joyful
Or an uncle...,Joey Tribbiani,1,12,7,8,Neutral
Hey Phoebe!,,1,12,7,10,Joyful
Hi Pheebs!,Ross Geller,1,12,7,11,Joyful
Pheebs!,Rachel Green,1,12,7,12,Joyful
Fine!,Phoebe Buffay,1,12,7,13,Neutral
"Phoebe, what's the matter?",Monica Geller,1,12,7,14,Neutral
"Nothing, I'm sorry, I'm just, I'm out of sorts.",Phoebe Buffay,1,12,7,15,Sad
"Hey, can we get some cappuccino over here?",Customer,1,12,7,16,Neutral
"Oh, right, that's me!",Rachel Green,1,12,7,17,Neutral
"Hey, Chandler, that table place closes at 7, come on.",Joey Tribbiani,1,12,7,18,Neutral
Fine.,Chandler Bing,1,12,7,19,Neutral
"Phoebe, what is it?",Monica Geller,1,12,7,20,Neutral
"All right, you know Paolo?",Phoebe Buffay,1,12,7,21,Neutral
"I'm familiar with his work, yes...",Ross Geller,1,12,7,22,Neutral
"Well, he made a move on me.",Phoebe Buffay,1,12,7,23,Scared
"Whoa, store will be open tomorrow!",Joey Tribbiani,1,12,7,25,Joyful
"More coffee over here, please!",Chandler Bing,1,12,7,26,Joyful
"Well, what happened?",Monica Geller,1,12,8,1,Neutral
"Well, he came in for a massage, and everything was fine until.",Phoebe Buffay,1,12,8,2,Scared
Ooooohh!,,1,12,8,4,Joyful
My God.,Ross Geller,1,12,8,5,Scared
Are you sure?,Monica Geller,1,12,8,6,Neutral
"Oh yeah, I'm sure. And all of a sudden his hands weren't the problem anymore.",Phoebe Buffay,1,12,8,9,Scared
Was it...?,Monica Geller,1,12,8,10,Mad
"Oh, boy scouts could have camped under there.",Phoebe Buffay,1,12,8,11,Peaceful
Oooooo....,Guys,1,12,8,12,Joyful
"""Ooo,"" what?",Rachel Green,1,12,8,14,Neutral
Uma Thurman.,Phoebe Buffay,1,12,8,15,Neutral
Oh!,Monica Geller,1,12,8,16,Joyful
The actress!,Ross Geller,1,12,8,17,Joyful
Thanks Rach.,Ross Geller,1,12,8,19,Joyful
So what are you gonna do?,Chandler Bing,1,12,8,21,Neutral
"You have to tell her! You have to tell her! It's your moral obligation, as a friend, as a woman, I think it's a feminist issue! Guys? Guys?",Ross Geller,1,12,8,22,Powerful
"Oh, yeah, you have to tell her.",Chandler Bing,1,12,8,23,Neutral
Feminist issue. That's where I went!,Joey Tribbiani,1,12,8,24,Powerful
She is gonna hate me.,Phoebe Buffay,1,12,8,25,Scared
"Yeah, well...",Ross Geller,1,12,8,26,Neutral
"Will you pick one, just pick one! Here, how about that one?",Joey Tribbiani,1,12,9,1,Joyful
That's patio furniture!,Chandler Bing,1,12,9,2,Joyful
"So what, like people are gonna come in and think, ""Uh-oh, I'm outside again?"" Of course!",Joey Tribbiani,1,12,9,3,Joyful
What about the birds?,Chandler Bing,1,12,9,4,Peaceful
"I don't know, birds just don't say, ""Hello, sit here, eat something.""",Joey Tribbiani,1,12,9,5,Neutral
You pick one.,Chandler Bing,1,12,9,6,Neutral
"All right, how about the ladybugs?",Joey Tribbiani,1,12,9,7,Peaceful
"Oh, so, forget about the birds, but big red insects suggest fine dining!",Chandler Bing,1,12,9,8,Mad
"Fine, you want to get the birds, get the birds!",Joey Tribbiani,1,12,9,9,Mad
"Not like that, I won't! Kip would have liked the birds!",Chandler Bing,1,12,9,10,Mad
Hey!,Phoebe Buffay,1,12,10,1,Joyful
Hi Pheebs!,Rachel Green,1,12,10,2,Joyful
Are you moving out?,Phoebe Buffay,1,12,10,3,Neutral
"No, these aren't all my suitcases. This one's Paolo's.",Rachel Green,1,12,10,4,Neutral
"Um, um, Rachel can we talk for a sec?",Phoebe Buffay,1,12,10,5,Neutral
"Well, sure...just a sec, though, 'cause Paolo's on his way over.",Rachel Green,1,12,10,6,Neutral
"Oh! Ok, um, ok, um,",Phoebe Buffay,1,12,10,7,Scared
"Oh, Pheebs, Pheebs...",Rachel Green,1,12,10,8,Sad
"Ok, um, we haven't known each other for that long a time, and, um, there are three things that you should know about me. One, my friends are the most important thing in my life, two, I never lie, and three, I make the best oatmeal raisin cookies in the world.",Phoebe Buffay,1,12,10,9,Sad
"Ok, thanks Pheebs Oh my God, why have I never tasted these before?!",Rachel Green,1,12,10,10,Joyful
"Oh, I don't make them a lot because I don't think it's fair to the other cookies",Phoebe Buffay,1,12,10,11,Joyful
"All right, well, you're right, these are the best oatmeal cookies I've ever had.",Rachel Green,1,12,10,12,Joyful
Which proves that I never lie.,Phoebe Buffay,1,12,10,13,Neutral
I guess you don't.,Rachel Green,1,12,10,14,Neutral
Paolo made a pass at me.,Phoebe Buffay,1,12,10,15,Sad
"So, what do you think?",Chandler Bing,1,12,11,1,Neutral
I think It's the most beautiful table I've ever seen.,Ross Geller,1,12,11,2,Joyful
I know!,Chandler Bing,1,12,11,3,Joyful
"So how does this work, you going to balance the plates on these little guys' heads?",Monica Geller,1,12,11,5,Neutral
"Who cares, we'll eat at the sink! Come on, let's play!",Joey Tribbiani,1,12,11,6,Joyful
Heads up Ross! Score! You suck!,Monica Geller,1,12,11,7,Joyful
Are you okay?,Phoebe Buffay,1,12,12,1,Neutral
I need some milk.,Rachel Green,1,12,12,2,Neutral
"Ok, I've got milk Here you go... Oh! Better?",Phoebe Buffay,1,12,12,3,Joyful
"No...oh, I feel so stupid! Oh, I think about the other day with you guys and I was all ""Oh, Paolo, he's so great, he makes me feel so..."" Oh, God, I'm so embarrassed!",Rachel Green,1,12,12,4,Sad
"I'm so embarrassed, I'm the one he hit on!",Phoebe Buffay,1,12,12,5,Sad
"Pheebs, if I had never met him this never would have happened!",Rachel Green,1,12,12,7,Sad
I'm so sorry! No I'm sorry! No I'm sorry! No I'm sorry!,,1,12,12,8,Sad
"No, wait, oh, what are we sorry about?",Phoebe Buffay,1,12,12,9,Neutral
"I don't know...right, he's the pig!",Rachel Green,1,12,12,10,Mad
Such a pig!,Phoebe Buffay,1,12,12,11,Mad
"Oh, God, he's such a pig,",Rachel Green,1,12,12,12,Mad
Oh he's like a...,Phoebe Buffay,1,12,12,13,Mad
He's like a big disgusting...,Rachel Green,1,12,12,14,Mad
...like a...,Phoebe Buffay,1,12,12,15,Mad
...pig...pig man!,Rachel Green,1,12,12,16,Mad
"Yes, good! Ok...",Phoebe Buffay,1,12,12,17,Joyful
"Oh, but he was my pig man...how did I not see this?",Rachel Green,1,12,12,18,Sad
"Oh! I know! It's because... he's gorgeous, and he's charming, and when he looks at you...",Phoebe Buffay,1,12,12,19,Neutral
"Ok, Ok, Pheebs...",Rachel Green,1,12,12,20,Sad
The end.,Phoebe Buffay,1,12,12,21,Neutral
"Oh, God...",Rachel Green,1,12,12,22,Sad
Should I not have told you?,Phoebe Buffay,1,12,12,23,Neutral
"No, no, trust, me, it's, it's, it's much better that I know. Uh, I just liked it better before it was better...",Rachel Green,1,12,12,24,Sad
"I think she took it pretty well. You know Paolo's over there right now, so...",Phoebe Buffay,1,12,13,1,Neutral
We should get over there and see if she's okay. Just one...second! Score! Game! Come on.,Monica Geller,1,12,13,2,Joyful
"Ah...ooh! Well, looks like, uh, we kicked your butts.",Ross Geller,1,12,13,3,Joyful
"No-no, she kicked our butts. You could be on the Olympic standing-there team.",Joey Tribbiani,1,12,13,4,Peaceful
"Come on, two on one.",Ross Geller,1,12,13,5,Neutral
"What are you still doing here? She just broke up with the guy, it's time for you to swoop in!",Chandler Bing,1,12,13,6,Mad
"What, now?",Ross Geller,1,12,13,7,Scared
"Yes, now is when you swoop! You gotta make sure that when Paolo walks out of there, the first guy Rachel sees is you, She's gotta know that you're everything he's not! You're like, like the anti-Paolo!",Joey Tribbiani,1,12,13,8,Powerful
"My Catholic friend is right. She's distraught. You're there for her. You pick up the pieces, and then you usher in the age of Ross!",Chandler Bing,1,12,13,9,Powerful
Yes! And that would be a shut-down!,Monica Geller,1,12,15,1,Joyful
Shut-out!!,,1,12,15,2,Joyful
"Where are you guys going? Come on, one more game!",Monica Geller,1,12,15,3,Joyful
"Uh, it's 2:30 in the morning!",Joey Tribbiani,1,12,15,4,Joyful
"Yeah, get out!",Chandler Bing,1,12,15,5,Mad
"You guys are always hanging out in my apartment! Come on, I'll only use my left hand, huh? Come on, wussies! All right, ok, I gotta go. I'm going, and I'm gone.",Monica Geller,1,12,15,6,Powerful
One more game?,Chandler Bing,1,12,15,7,Neutral
Oh yeah!,Joey Tribbiani,1,12,15,8,Joyful
"That is it! You just barge in here, you don't knock",Rachel Green,1,13,1,1,Mad
I'm sorry!,Chandler Bing,1,13,1,2,Sad
You have no respect for anybody's privacy!,Rachel Green,1,13,1,3,Mad
"Rachel, wait, wait.",Chandler Bing,1,13,1,4,Neutral
"No, you wait! This is ridiculous!",Rachel Green,1,13,1,5,Mad
Can I just say one thing?,Chandler Bing,1,13,1,6,Scared
What? What?!,Rachel Green,1,13,1,7,Mad
That's a relatively open weave and I can still see your... nipular areas.,Chandler Bing,1,13,1,8,Neutral
Oh!!,Rachel Green,1,13,1,9,Mad
"Gotta go. I miss you too, I love you, but it's getting real late now",Joey Tribbiani Sr.,1,13,3,1,Sad
"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me? Did you know this isn't Ma?",Joey Tribbiani,1,13,3,2,Neutral
Her name's Ronni. She's a pet mortician.,Joey Tribbiani Sr.,1,13,3,4,Neutral
Sure. So how long you been...,Joey Tribbiani,1,13,3,5,Neutral
"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",Joey Tribbiani Sr.,1,13,3,6,Neutral
Since then?!,Joey Tribbiani,1,13,3,7,Neutral
"No, it's only been six years. I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy. ...Joe. Y'ever been in love?",Joey Tribbiani Sr.,1,13,3,8,Neutral
...I d'know.,Joey Tribbiani,1,13,3,9,Neutral
Then y'haven't. You're burning your tomatoes.,Joey Tribbiani Sr.,1,13,3,10,Neutral
You're one to talk.,Joey Tribbiani,1,13,3,11,Mad
"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",Joey Tribbiani Sr.,1,13,3,12,Scared
Oh man. Please tell me one of 'em is Ma.,Joey Tribbiani,1,13,3,13,Scared
"Of course, course one of 'em's Ma. What's the matter with you.",Joey Tribbiani Sr.,1,13,3,14,Mad
"Night, you guys.",Joey Tribbiani,1,13,5,1,Neutral
"Oh look, it's the woman we ordered.",Chandler Bing,1,13,5,3,Joyful
"Hey. Can, uh, can we help you?",Joey Tribbiani,1,13,5,4,Joyful
"Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani.",Ronni Rapalono,1,13,5,5,Neutral
I'm Joey Tribbiani.,Joey Tribbiani,1,13,5,6,Peaceful
"Oh no, not you, big Joey. Oh my God, you're so much cuter than your pictures! I-I'm, I'm Ronni....Cheese Nip?",Ronni Rapalono,1,13,5,7,Joyful
"Uh, Joey's having an embolism, but I'd go for a Nip, y'know?",Chandler Bing,1,13,5,8,Joyful
"Hey, Kicky. What're you doing?",Chandler Bing,1,13,7,1,Neutral
Just trying to get comfortable. I can't sleep in my underwear.,Joey Tribbiani,1,13,7,2,Neutral
"Well, you're gonna.",Chandler Bing,1,13,7,3,Neutral
"I've been thinking. Y'know, about how I'm always seeing girls on top of girls...",Joey Tribbiani,1,13,7,4,Joyful
"Are they end to end, or tall like pancakes?",Chandler Bing,1,13,7,5,Neutral
"Y'know what I mean, about how I'm always going out with all these women. And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? Now I'm looking at my dad, thinking...",Joey Tribbiani,1,13,7,6,Scared
"Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?",Chandler Bing,1,13,7,7,Mad
No.,Joey Tribbiani,1,13,7,8,Neutral
"No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say ""No thanks, I'm married.""",Chandler Bing,1,13,7,9,Powerful
You really think so?,Joey Tribbiani,1,13,7,10,Neutral
Yeah. I really do.,Chandler Bing,1,13,7,11,Powerful
"Thanks, Chandler.",Joey Tribbiani,1,13,7,12,Powerful
Get off!,Chandler Bing,1,13,7,13,Mad
Hi.,Ronni Rapalono,1,13,8,1,Neutral
Hi...May I help you?,Monica Geller,1,13,8,2,Neutral
"Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?",Ronni Rapalono,1,13,8,3,Scared
Okay...who are you?,Monica Geller,1,13,8,4,Scared
"Oh, I'm Ronni. Ronni Rappelano? The mistress?",Ronni Rapalono,1,13,8,5,Scared
"Oh, c'mon in.",Monica Geller,1,13,8,6,Neutral
Thanks.,Ronni Rapalono,1,13,8,7,Joyful
"Hi, I'm Rachel.",Rachel Green,1,13,8,8,Joyful
Hi.,Ronni Rapalono,1,13,8,9,Neutral
Bathroom's up there.,Rachel Green,1,13,8,10,Neutral
Great.,Ronni Rapalono,1,13,8,11,Joyful
"Hey, listen, Ronni, how long would you say Chandler's been in the shower?",Rachel Green,1,13,8,12,Neutral
"Oh, like, uh, five minutes?",Ronni Rapalono,1,13,8,13,Neutral
"Perfect. Fasten your seatbelts, it's peepee time. Hey, Mr. Trib.",Rachel Green,1,13,8,14,Joyful
"Hey. Morning, dear.",Joey Tribbiani Sr.,1,13,8,15,Joyful
Chandler Bing? It's time to see your thing.,Rachel Green,1,13,8,17,Joyful
What's the matter with you?!,Joey Tribbiani,1,13,8,19,Scared
I thought it was Chandler!,Rachel Green,1,13,8,20,Joyful
What? What?,Chandler Bing,1,13,8,21,Scared
You were supposed to be in there so I could see your thing!,Rachel Green,1,13,8,22,Mad
"Sorry, my my thing was in there with me.",Chandler Bing,1,13,8,23,Neutral
"Hey, Pheebs.",#ALL#,1,13,9,1,Neutral
Hey.,Phoebe Buffay,1,13,9,2,Neutral
How's it going?,Monica Geller,1,13,9,3,Neutral
Good. Oh oh! Roger's having a dinner thing and he wanted me to invite you guys.,Phoebe Buffay,1,13,9,4,Joyful
So what's going on?,Phoebe Buffay,1,13,9,6,Neutral
"Nothing, um, it's just, um... It's Roger.",Monica Geller,1,13,9,7,Neutral
"I dunno, there's just something about...",Ross Geller,1,13,9,8,Neutral
Basically we just feel that he's...,Chandler Bing,1,13,9,9,Neutral
We hate that guy.,Rachel Green,1,13,9,10,Mad
Yeah. Hate him.,#ALL#,1,13,9,11,Mad
"We're sorry, Pheebs, we're sorry.",Ross Geller,1,13,9,12,Scared
"Uh-huh. Okay. Okay, don't you think, maybe, though, it's just that he's so perceptive that it freaks you out?",Phoebe Buffay,1,13,9,13,Neutral
"...No, we hate him.",#ALL#,1,13,9,14,Mad
We're sorry.,Rachel Green,1,13,9,15,Sad
Ma! What're you doing here?,Joey Tribbiani,1,13,10,1,Joyful
I came to give you this and this.,Gloria Tribbiani,1,13,10,2,Mad
Oww! Big ring!,Joey Tribbiani,1,13,10,3,Scared
"Why did you have to fill your father's head with all that garbage about making things right? Things were fine the way they were! There's chicken in there, put it away. For God's sake, Joey, really.",Gloria Tribbiani,1,13,10,4,Mad
"Hold on, you-you knew?",Joey Tribbiani,1,13,10,5,Scared
"Of course I knew! What did you think? Your father is no James Bond. You should've heard some of his cover stories. ""I'm sleeping over at my accountant's,"" I mean, what is that? Please!",Gloria Tribbiani,1,13,10,6,Mad
"So then how could you I mean, how could you?!",Joey Tribbiani,1,13,10,7,Mad
"Do you remember how your father used to be? Always yelling, always yelling nothing made him happy, nothing made him happy, not that wood shop, not those stupid little ships in the bottle, nothing. Now he's happy! I mean, it's nice, he has a hobby.",Gloria Tribbiani,1,13,10,8,Mad
"Ma, I don't mean to be disrespectful, but... what the hell are you talking about?! I mean, what about you?",Joey Tribbiani,1,13,10,9,Mad
"Me? I'm fine. Look, honey, in an ideal world, there'd be no her, and your father would look like Sting. And I'll tell you something else. Ever since that poodle-stuffer came along, he's been so ashamed of himself that he's been more attentive, he's been more loving... I mean, it's like every day's our anniversary.",Gloria Tribbiani,1,13,10,10,Peaceful
I'm...happy...for you?,Joey Tribbiani,1,13,10,11,Scared
"Well don't be, because now everything's screwed up. I just want it the way it was.",Gloria Tribbiani,1,13,10,12,Mad
"Ma, I'm sorry. I just did what I thought you'd want.",Joey Tribbiani,1,13,10,13,Sad
"I know you did, cookie. Oh, I know you did. So tell me. Did you see her?",Gloria Tribbiani,1,13,10,14,Neutral
Yeah. You're ten times prettier than she is.,Joey Tribbiani,1,13,10,15,Joyful
That's sweet. Could I take her?,Gloria Tribbiani,1,13,10,16,Joyful
With this ring? No contest.,Joey Tribbiani,1,13,10,17,Joyful
"What's wrong, sweetie?",Roger,1,13,11,1,Scared
"Nothing, nothing.",Phoebe Buffay,1,13,11,2,Sad
"Aaaah, what's wrong, c'mon.",Roger,1,13,11,3,Neutral
"It's, I mean, it's nothing, I'm fine. It's my friends. They-they have a liking problem with you. In that, um, they don't.",Phoebe Buffay,1,13,11,4,Neutral
Oh. They don't.,Roger,1,13,11,5,Neutral
But they don't see all the wonderfulness that I see. They don't see all the good stuff and all the sweet stuff. They just think you're a little...,Phoebe Buffay,1,13,11,6,Neutral
What?,Roger,1,13,11,7,Neutral
Intense and creepy.,Phoebe Buffay,1,13,11,8,Scared
Oh.,Roger,1,13,11,9,Sad
"But I don't. Me, Phoebe.",Phoebe Buffay,1,13,11,10,Neutral
"Well, I'm not I'm not at all surprised they feel that way.",Roger,1,13,11,11,Neutral
"You're not? See, that's why you're so great!",Phoebe Buffay,1,13,11,12,Joyful
"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic. Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me! Define me! Love me, I need love!'.",Roger,1,13,11,13,Powerful
"So you talked to your dad, huh.",Monica Geller,1,13,12,1,Neutral
"Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today.",Joey Tribbiani,1,13,12,2,Scared
Wow.,Rachel Green,1,13,12,3,Neutral
Things sure have changed here on Waltons mountain.,Chandler Bing,1,13,12,4,Scared
"So Joey, you okay?",Ross Geller,1,13,12,5,Peaceful
"Yeah, I guess. It's just parents, after a certain point, you gotta let go. Even if you know better, you've gotta let them make their own mistakes.",Joey Tribbiani,1,13,12,6,Sad
"Just think, in a couple of years we get to turn into them.",Rachel Green,1,13,12,7,Sad
"If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like my mom.",Chandler Bing,1,13,12,8,Sad
Hey.,Phoebe Buffay,1,13,12,9,Neutral
"Hey, Pheebs.",#ALL#,1,13,12,10,Neutral
How's it going?,Monica Geller,1,13,12,11,Neutral
"Oh, okay, except I broke up with Roger.",Phoebe Buffay,1,13,12,12,Sad
Awww.,#ALL#,1,13,12,13,Peaceful
"Yeah, right.",Phoebe Buffay,1,13,12,14,Neutral
Aaawwwwww!!,#ALL#,1,13,12,15,Sad
What happened?,Rachel Green,1,13,12,16,Neutral
"I don't know, I mean, he's a good person, and he can be really sweet, and in some ways I think he is so right for me, it's just... I hate that guy!",Phoebe Buffay,1,13,12,17,Mad
"Hey, Joey. What's going on?",Phoebe Buffay,1,13,13,1,Neutral
Clear the tracks for the boobie payback express. Next stop: Rachel Green.,Joey Tribbiani,1,13,13,2,Scared
Joey!! What the hell were you doing?!,Monica Geller,1,13,13,3,Mad
Sorry. Wrong boobies.,Joey Tribbiani,1,13,13,4,Joyful
"Hello, Joey.",Monica Geller,1,13,13,6,Neutral
"Oh! ...Hello, dear.",Joey Tribbiani Sr.,1,13,13,8,Scared
"I'm tellin' you Ross, she wants you.",Joey Tribbiani,1,14,1,1,Joyful
She barely knows me. We just live in the same building.,Ross Geller,1,14,1,2,Neutral
Any contact?,Chandler Bing,1,14,1,3,Neutral
She lent me an egg once.,Ross Geller,1,14,1,4,Neutral
You're in!,Joey Tribbiani,1,14,1,5,Joyful
"Aw, right.",Ross Geller,1,14,1,6,Neutral
"Hi, Ross.",Woman,1,14,1,7,Neutral
Hey.,Ross Geller,1,14,1,8,Scared
"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbianI don't think we need a third...",Chandler Bing,1,14,1,9,Joyful
"Excuse me, could we get an egg over here, still in the shell? Thanks.",Joey Tribbiani,1,14,1,10,Neutral
An egg?,Ross Geller,1,14,1,11,Neutral
"Yeah, you're gonna go up to her and say, ""Here's your egg back, I'm returning your egg.""",Joey Tribbiani,1,14,1,12,Neutral
I think it's winning.,Chandler Bing,1,14,1,13,Neutral
I think it's insane.,Ross Geller,1,14,1,14,Scared
"She'll love it. Go with the egg, my friend.",Chandler Bing,1,14,1,15,Joyful
Think it'll work?,Joey Tribbiani,1,14,1,17,Scared
"No, it's suicide. The man's got an egg.",Chandler Bing,1,14,1,18,Sad
You can not do this.,Monica Geller,1,14,2,1,Mad
"Do what, do what?",Rachel Green,1,14,2,2,Scared
Roger wants to take her out tomorrow night.,Monica Geller,1,14,2,3,Neutral
No! Phoebes! Don't you remember why you dumped the guy?,Rachel Green,1,14,2,4,Scared
"'Cause he was creepy, and mean, and a little frightening... alright, still, it's nice to have a date on Valentine's Day!",Phoebe Buffay,1,14,2,5,Scared
"But Phoebe, you can go out with a creepy guy any night of the year. I know I do.",Monica Geller,1,14,2,6,Peaceful
"Well, what are you guys doing tomorrow night?",Rachel Green,1,14,2,7,Peaceful
"Actually, tomorrow night kinda depends on how tonight goes.",Joey Tribbiani,1,14,2,8,Neutral
"Oh, uh, listen, about tonight...",Chandler Bing,1,14,2,9,Scared
"No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend.",Joey Tribbiani,1,14,2,10,Mad
"Yes, I know, but her friend sounds like such a...",Chandler Bing,1,14,2,11,Scared
"Pathetic mess? I know, butcome on, man, she's needy, she's vulnerable. I'm thinkin', cha-ching! Thanks. Look, you have not been out with a woman since Janice. You're doin' this.",Joey Tribbiani,1,14,2,12,Mad
Hi. She said yes.,Ross Geller,1,14,2,13,Neutral
"Yes! Way to go, man! Still got the egg, huh?",Chandler Bing,1,14,2,14,Joyful
How do I look?,Joey Tribbiani,1,14,3,1,Joyful
"Oh, uh, I... don't... care. Ok, now, remember, no trading. You get the pretty one, I get the mess.",Chandler Bing,1,14,3,2,Joyful
"Hi, Joey. Well well, look what you brought. Very nice.",Lorraine,1,14,3,3,Joyful
...And what did you bring?,Chandler Bing,1,14,3,4,Neutral
"She's checking the coats. Joey, I'm gonna go wash the cab smell off my hands. Will you get me a white Zinfandel, and a glass of red for Janice.",Lorraine,1,14,3,5,Neutral
Janice?,Chandler Bing,1,14,3,6,Neutral
Oh.... my.... God.,Janice Litman Goralnik,1,14,3,8,Joyful
"Hey, it's Janice.",Chandler Bing,1,14,3,9,Mad
"Ok, I'm makin' a break for it, I'm goin' out the window.",Chandler Bing,1,14,4,1,Scared
"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down.",Joey Tribbiani,1,14,4,2,Scared
Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!,Chandler Bing,1,14,4,3,Mad
"Can you stop yellin'? You're makin' me nervous, and I can't go when I'm nervous.",Joey Tribbiani,1,14,4,4,Mad
"I'm sorry, I'm sorry, you're right. Come on, do it, do it, go, come on!!!",Chandler Bing,1,14,4,5,Mad
"Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney.",Rachel Green,1,14,5,1,Neutral
Which one was Pete Carney?,Monica Geller,1,14,5,2,Neutral
"Pete the Weeper? Remember that guy who used to cry every time we had sex. ""Was it good for you?""",Rachel Green,1,14,5,3,Mad
"Yeah, well, I'll take a little crying any day over Howard-the-""I-win""-guy. ""I win! I win!"" I went out with the guy for two monthsI didn't get to win once.",Monica Geller,1,14,5,4,Mad
How did we end up with these jerks? We're good people!,Rachel Green,1,14,5,5,Mad
I don't know. Maybe we're some kinda magnets.,Monica Geller,1,14,5,6,Neutral
I know I am. That's why I can't wear a digital watch.,Phoebe Buffay,1,14,5,7,Neutral
"There's more beer, right?",Monica Geller,1,14,5,8,Neutral
"Oh! You know my friend Abby who shaves her head? She said that if you want to break the bad boyfriend cycle, you can do like a cleansing ritual.",Phoebe Buffay,1,14,5,9,Neutral
"Pheebes, this woman is voluntarily bald.",Rachel Green,1,14,5,10,Neutral
"Yeah. So, we can do it tomorrow night, you guys. It's Valentine's Day. It's perfect.",Phoebe Buffay,1,14,5,11,Joyful
"Ok, well, what kind of ritual?",Monica Geller,1,14,5,12,Neutral
"Ok. We can, um, we can burn the stuff they gave us.",Phoebe Buffay,1,14,5,13,Neutral
Or?,Rachel Green,1,14,5,14,Neutral
"Or...or we can chant and dance around naked, you know, with sticks.",Phoebe Buffay,1,14,5,15,Neutral
Burning's good.,Monica Geller,1,14,5,16,Joyful
"Burning's good. Yeah, I got stuff to burn.",Rachel Green,1,14,5,17,Powerful
"Oh, I miss you already. Can you believe this happened?",Janice Litman Goralnik,1,14,8,1,Sad
"No... no! And yet it did. Good-bye, Janice.",Chandler Bing,1,14,8,2,Powerful
Kiss me!,Janice Litman Goralnik,1,14,8,3,Joyful
"Oh, Chandler, sorry.",Monica Geller,1,14,8,5,Neutral
"Ohhh, Chandler, sorry! Hey, Janice.",Monica Geller,1,14,8,7,Neutral
"Hi, Monica.",Janice Litman Goralnik,1,14,8,8,Neutral
"Ok, well, this was very special.",Chandler Bing,1,14,8,9,Neutral
"Rach, come see who's out here!",Monica Geller,1,14,8,10,Joyful
"Oh my god. Janice, hi!",Rachel Green,1,14,8,12,Joyful
Janice is gonna go away now.,Chandler Bing,1,14,8,13,Peaceful
I'll be right back.,Monica Geller,1,14,8,14,Neutral
"Oh, Joey, look who it is.",Rachel Green,1,14,8,16,Joyful
Whoa.,Joey Tribbiani,1,14,8,17,Scared
"Oh, good, Joey's home now.",Chandler Bing,1,14,8,18,Joyful
This is so fun. This is like a reunion in the hall.,Janice Litman Goralnik,1,14,8,19,Joyful
"Oh, hi, Ross. Yeah. There's someone I want you to say hi to. He just happened to call.",Monica Geller,1,14,8,21,Joyful
"Hi, Ross. Yes, it's me. How did you know?",Janice Litman Goralnik,1,14,8,22,Joyful
